year,energy,danceability,acousticness,valence
1921,0.2318,0.4186,0.8869,0.3793
1922,0.2378,0.482,0.9386,0.5355
1923,0.2624,0.5773,0.9572,0.6255
1924,0.3443,0.5499,0.9402,0.6637
1925,0.2786,0.5739,0.9626,0.6219
1926,0.2115,0.5999,0.6608,0.4369
1927,0.2643,0.6483,0.9362,0.6597
1928,0.2079,0.5343,0.9386,0.4957
1929,0.2418,0.6477,0.6014,0.6365
1930,0.3335,0.5182,0.9367,0.6162
1931,0.2345,0.5952,0.833,0.5131
1932,0.3021,0.5578,0.9358,0.5882
1933,0.2799,0.5703,0.8999,0.5994
1934,0.2621,0.5287,0.8911,0.5588
1935,0.2464,0.5559,0.7784,0.5456
1936,0.3084,0.558,0.7723,0.5641
1937,0.311,0.5422,0.8654,0.5858
1938,0.281,0.48,0.9193,0.5149
1939,0.2827,0.5127,0.9087,0.5599
1940,0.3109,0.5219,0.8476,0.6167
1941,0.2656,0.4805,0.8957,0.4795
1942,0.2561,0.4646,0.8529,0.4774
1943,0.28,0.4551,0.9028,0.4955
1944,0.2534,0.5002,0.9077,0.5407
1945,0.226,0.5191,0.7097,0.4914
1946,0.2222,0.4144,0.9199,0.3983
1947,0.2636,0.4713,0.914,0.5082
1948,0.2425,0.4634,0.9222,0.4621
1949,0.2461,0.4422,0.9075,0.4304
1950,0.3141,0.5043,0.8539,0.5516
1951,0.2547,0.4625,0.9023,0.4413
1952,0.2536,0.457,0.8743,0.4431
1953,0.2662,0.4374,0.8909,0.4291
1954,0.2643,0.4656,0.865,0.4523
1955,0.2951,0.4881,0.8406,0.4724
1956,0.3048,0.4878,0.8231,0.5084
1957,0.2953,0.5035,0.7928,0.511
1958,0.3088,0.48,0.7796,0.4977
1959,0.311,0.4821,0.7794,0.4784
1960,0.3411,0.486,0.7672,0.5239
1961,0.3395,0.4892,0.7519,0.5129
1962,0.371,0.4932,0.7206,0.5478
1963,0.3654,0.4816,0.7227,0.5415
1964,0.3944,0.5042,0.6941,0.5573
1965,0.449,0.5035,0.6099,0.581
1966,0.4822,0.507,0.5248,0.5801
1967,0.4468,0.4927,0.5296,0.5508
1968,0.457,0.501,0.4938,0.566
1969,0.4876,0.4881,0.4488,0.5547
1970,0.4956,0.5063,0.4601,0.5721
1971,0.4964,0.5043,0.4583,0.5749
1972,0.5045,0.521,0.46,0.5957
1973,0.5361,0.5154,0.4165,0.5921
1974,0.5147,0.5153,0.4472,0.5813
1975,0.5232,0.521,0.4338,0.5694
1976,0.5538,0.5298,0.3615,0.5807
1977,0.5603,0.5333,0.3393,0.5852
1978,0.5614,0.5408,0.329,0.5895
1979,0.591,0.562,0.2959,0.61
1980,0.5978,0.5562,0.285,0.5981
1981,0.5994,0.5422,0.3012,0.583
1982,0.5909,0.5643,0.2896,0.5864
1983,0.6014,0.5456,0.2948,0.5721
1984,0.5911,0.5303,0.2877,0.5516
1985,0.6015,0.5556,0.2966,0.5656
1986,0.615,0.5409,0.2851,0.5509
1987,0.5798,0.541,0.3117,0.5415
1988,0.5857,0.5405,0.322,0.5465
1989,0.584,0.5472,0.3134,0.5483
1990,0.5716,0.5353,0.3329,0.5265
1991,0.5594,0.5558,0.3328,0.5487
1992,0.5829,0.5551,0.3208,0.5591
1993,0.5626,0.5699,0.3091,0.5556
1994,0.5788,0.5528,0.3062,0.5266
1995,0.5786,0.559,0.3025,0.5302
1996,0.5861,0.5878,0.301,0.5609
1997,0.5987,0.5768,0.3067,0.5486
1998,0.6052,0.5862,0.2915,0.5377
1999,0.6375,0.5822,0.2716,0.5565
2000,0.6254,0.5909,0.2893,0.5595
2001,0.627,0.5833,0.2868,0.5415
2002,0.6413,0.5762,0.2826,0.5424
2003,0.6602,0.5758,0.2565,0.5305
2004,0.6489,0.5677,0.2806,0.5245
2005,0.6532,0.5723,0.2558,0.5325
2006,0.6503,0.5682,0.28,0.52
2007,0.6683,0.5634,0.2541,0.5168
2008,0.6715,0.5792,0.2492,0.5275
2009,0.6707,0.5642,0.2619,0.5072
2010,0.6818,0.5725,0.2427,0.5209
2011,0.6483,0.5529,0.2732,0.4725
2012,0.6566,0.5709,0.25,0.4627
2013,0.6456,0.5711,0.2575,0.4547
2014,0.6488,0.5899,0.2493,0.463
2015,0.6271,0.5938,0.254,0.4321
2016,0.5929,0.6002,0.2842,0.4315
2017,0.5904,0.6122,0.2861,0.4165
2018,0.6024,0.6635,0.2676,0.4479
2019,0.5932,0.6448,0.2783,0.4588
2020,0.6312,0.6929,0.2199,0.501
