feature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
acousticness,1.0,-0.2669,-0.7494,0.3298,-0.0245,-0.5617,-0.044,-0.2071,-0.1841,-0.5732
danceability,-0.2669,1.0,0.222,-0.2781,-0.1002,0.2851,0.2355,0.0018,0.5589,0.1996
energy,-0.7494,0.222,1.0,-0.2811,0.1262,0.7824,-0.0706,0.2509,0.3539,0.485
instrumentalness,0.3298,-0.2781,-0.2811,1.0,-0.0472,-0.4086,-0.1217,-0.1054,-0.1985,-0.2968
liveness,-0.0245,-0.1002,0.1262,-0.0472,1.0,0.0564,0.1347,0.0077,0.0038,-0.0765
loudness,-0.5617,0.2851,0.7824,-0.4086,0.0564,1.0,-0.1393,0.2098,0.3135,0.4571
speechiness,-0.044,0.2355,-0.0706,-0.1217,0.1347,-0.1393,1.0,-0.0115,0.0464,-0.172
tempo,-0.2071,0.0018,0.2509,-0.1054,0.0077,0.2098,-0.0115,1.0,0.1717,0.1333
valence,-0.1841,0.5589,0.3539,-0.1985,0.0038,0.3135,0.0464,0.1717,1.0,0.0142
popularity,-0.5732,0.1996,0.485,-0.2968,-0.0765,0.4571,-0.172,0.1333,0.0142,1.0
