decade,explicit,total_tracks,average_popularity,average_energy,average_danceability,average_acousticness
1920,0,4441,1.5044,0.2299,0.5706,0.9034
1920,1,685,0.0073,0.269,0.6929,0.1414
1930,0,8958,2.6979,0.2935,0.5315,0.8898
1930,1,591,0.0914,0.1827,0.6961,0.5322
1940,0,14285,2.0142,0.2624,0.4567,0.9082
1940,1,1093,0.0732,0.1564,0.6931,0.3847
1950,0,19696,10.7667,0.2863,0.4752,0.8432
1950,1,154,1.1494,0.3407,0.6929,0.4685
1960,0,19538,26.5528,0.4144,0.4946,0.6242
1960,1,11,24.6364,0.5534,0.6845,0.3478
1970,0,19929,35.0686,0.5333,0.525,0.4001
1970,1,71,31.4648,0.6633,0.5065,0.4217
1980,0,19389,37.5714,0.5903,0.5471,0.3027
1980,1,461,35.5054,0.7814,0.516,0.1289
1990,0,17610,44.0995,0.5701,0.5516,0.3332
1990,1,2291,44.9048,0.7088,0.6772,0.11
2000,0,16870,49.7482,0.6357,0.559,0.2938
2000,1,2776,49.6502,0.7483,0.6664,0.1236
2010,0,14480,56.4698,0.625,0.5667,0.2859
2010,1,5294,60.8515,0.64,0.6813,0.2043
2020,0,1024,58.9883,0.6356,0.6528,0.2598
2020,1,1006,69.7107,0.6268,0.7338,0.1793
