decade,total_tracks,avg_popularity,avg_energy,avg_danceability,avg_acousticness,avg_valence
1920,5126,1.3043,0.2351,0.587,0.8016,0.5421
1930,9549,2.5366,0.2867,0.5417,0.8677,0.5679
1940,15378,1.8763,0.2549,0.4735,0.871,0.4878
1950,19850,10.6921,0.2868,0.4769,0.8403,0.4786
1960,19549,26.5517,0.4145,0.4947,0.624,0.5519
1970,20000,35.0558,0.5337,0.5249,0.4002,0.5851
1980,19850,37.5234,0.5947,0.5464,0.2986,0.5644
1990,19901,44.1923,0.5861,0.5661,0.3075,0.545
2000,19646,49.7343,0.6516,0.5741,0.2698,0.5303
2010,19774,57.6429,0.629,0.5974,0.2641,0.4564
2020,2030,64.302,0.6312,0.6929,0.2199,0.501
