model,feature_set,feature,coefficient,abs_coefficient
Linear Regression,Audio Only,acousticness,-8.56154,8.56154
Linear Regression,Audio Only,valence,-5.61578,5.61578
Linear Regression,Audio Only,speechiness,-4.54186,4.54186
Linear Regression,Audio Only,danceability,4.31325,4.31325
Linear Regression,Audio Only,energy,2.70585,2.70585
Linear Regression,Audio Only,instrumentalness,-2.62568,2.62568
Linear Regression,Audio Only,loudness,1.79671,1.79671
Linear Regression,Audio Only,liveness,-1.37201,1.37201
Linear Regression,Audio Only,tempo,0.7119,0.7119
Ridge Regression,Audio Only,acousticness,-8.56071,8.56071
Ridge Regression,Audio Only,valence,-5.61489,5.61489
Ridge Regression,Audio Only,speechiness,-4.54126,4.54126
Ridge Regression,Audio Only,danceability,4.31241,4.31241
Ridge Regression,Audio Only,energy,2.70599,2.70599
Ridge Regression,Audio Only,instrumentalness,-2.62558,2.62558
Ridge Regression,Audio Only,loudness,1.79705,1.79705
Ridge Regression,Audio Only,liveness,-1.37209,1.37209
Ridge Regression,Audio Only,tempo,0.71178,0.71178
Linear Regression,Extended,year,17.2889,17.2889
Linear Regression,Extended,acousticness,-1.57348,1.57348
Linear Regression,Extended,instrumentalness,-1.32683,1.32683
Linear Regression,Extended,speechiness,-1.25656,1.25656
Linear Regression,Extended,liveness,-0.52323,0.52323
Linear Regression,Extended,energy,-0.45582,0.45582
Linear Regression,Extended,danceability,0.44173,0.44173
Linear Regression,Extended,explicit,0.27817,0.27817
Linear Regression,Extended,valence,0.19326,0.19326
Linear Regression,Extended,mode,-0.09468,0.09468
Linear Regression,Extended,loudness,0.07307,0.07307
Linear Regression,Extended,tempo,0.03551,0.03551
Linear Regression,Extended,duration_ms,-0.03497,0.03497
Linear Regression,Extended,key,-0.02994,0.02994
Ridge Regression,Extended,year,17.28643,17.28643
Ridge Regression,Extended,acousticness,-1.57407,1.57407
Ridge Regression,Extended,instrumentalness,-1.32695,1.32695
Ridge Regression,Extended,speechiness,-1.25701,1.25701
Ridge Regression,Extended,liveness,-0.52337,0.52337
Ridge Regression,Extended,energy,-0.45496,0.45496
Ridge Regression,Extended,danceability,0.44224,0.44224
Ridge Regression,Extended,explicit,0.27845,0.27845
Ridge Regression,Extended,valence,0.19243,0.19243
Ridge Regression,Extended,mode,-0.09466,0.09466
Ridge Regression,Extended,loudness,0.07322,0.07322
Ridge Regression,Extended,tempo,0.03562,0.03562
Ridge Regression,Extended,duration_ms,-0.03495,0.03495
Ridge Regression,Extended,key,-0.02994,0.02994
